Subject,type,rowID,member,areamanagerid,areaid,areadesc,startdataarea,enddataarea,usageid,location,deliveryAddress,cityName,lat,long,stateAbbr,zipCode
https://opendata.rdw.nl/resource/t5pc-eb34/row-6788.i2aj-ys6d,https://opendata.rdw.nl/resource/t5pc-eb34,row-6788.i2aj-ys6d,t5pc-eb34,2448,363_MUSE,Garage Museumplein (Amsterdam),20131122,29991231,GARAGEP,106,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-k8x7_p8wu.p3zf,https://opendata.rdw.nl/resource/t5pc-eb34,row-k8x7_p8wu.p3zf,t5pc-eb34,2062,772_WIT,Garage De Witte Dame (Eindhoven),20131030,29991231,GARAGEP,107,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-e4dq-yxnu-sct8,https://opendata.rdw.nl/resource/t5pc-eb34,row-e4dq-yxnu-sct8,t5pc-eb34,2461,518_PARK,Garage Nieuwe Parklaan (Den Haag),20131114,29991231,GARAGEP,108,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-5nm9_9z7t_nstt,https://opendata.rdw.nl/resource/t5pc-eb34,row-5nm9_9z7t_nstt,t5pc-eb34,2461,518_KUR,Garage Kurhaus (Den Haag),20131114,29991231,GARAGEP,109,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-pbnx.9cd5-c576,https://opendata.rdw.nl/resource/t5pc-eb34,row-pbnx.9cd5-c576,t5pc-eb34,2459,361_GROTE,Garage Grote Kerk (Alkmaar),20150101,29991231,GARAGEP,110,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-fmik_4p5f_i9ti,https://opendata.rdw.nl/resource/t5pc-eb34,row-fmik_4p5f_i9ti,t5pc-eb34,2448,603_BOGP2,In de Bogaard P2 (Rijswijk),20140101,29991231,GARAGEP,111,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-7jk8.naqr~dqqe,https://opendata.rdw.nl/resource/t5pc-eb34,row-7jk8.naqr~dqqe,t5pc-eb34,2448,513_BOLW,Garage Bolwerk (Gouda),20130918,29991231,GARAGEP,112,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-c3rm~sa9j.gjcy,https://opendata.rdw.nl/resource/t5pc-eb34,row-c3rm~sa9j.gjcy,t5pc-eb34,2448,363_KOLK,"""Garage Nieuwendijk, voorheen De Kolk (Amsterdam)""",20131122,29991231,GARAGEP,113,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-vu8f_dsvp-cphm,https://opendata.rdw.nl/resource/t5pc-eb34,row-vu8f_dsvp-cphm,t5pc-eb34,2062,363_OLYM,Garage Olympisch Stadion (Amsterdam),20131030,29991231,GARAGEP,114,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-96wt-sb27.2emp,https://opendata.rdw.nl/resource/t5pc-eb34,row-96wt-sb27.2emp,t5pc-eb34,2449,344_P4,Garage P4 Stationsstraat (Utrecht),20131108,29991231,GARAGEP,115,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-29pj-6ejy~g55a,https://opendata.rdw.nl/resource/t5pc-eb34,row-29pj-6ejy~g55a,t5pc-eb34,2448,150_BOR,Garage De Boreel (Deventer),20131126,29991231,GARAGEP,116,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-hmcv-qkun-hfvm,https://opendata.rdw.nl/resource/t5pc-eb34,row-hmcv-qkun-hfvm,t5pc-eb34,856,856_BRAPL,Parkeergarage Brabantplein (Uden),20131008,29991231,GARAGEP,117,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-7qip~m4vd.epv4,https://opendata.rdw.nl/resource/t5pc-eb34,row-7qip~m4vd.epv4,t5pc-eb34,2448,363_PAUL,Garage Museumplein Bus (Amsterdam),20141215,29991231,GARAGEP,118,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-bmxf-a7q4-ch2j,https://opendata.rdw.nl/resource/t5pc-eb34,row-bmxf-a7q4-ch2j,t5pc-eb34,2449,202_ZHRS,Garage Ziekenhuis Rijnstate P1 (Arnhem),20131107,29991231,GARAGEP,119,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-iarm~2vuw_3upk,https://opendata.rdw.nl/resource/t5pc-eb34,row-iarm~2vuw_3upk,t5pc-eb34,1916,1916_DAM,Garage Damplein (Leidschendam-Voorburg),20141120,29991231,GARAGEP,120,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-v6kd~mpwn_jfte,https://opendata.rdw.nl/resource/t5pc-eb34,row-v6kd~mpwn_jfte,t5pc-eb34,2459,363_PRINS,Garage Prins & Keizer (Amsterdam),20150101,29991231,GARAGEP,121,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-mwwc_m78i.mz7z,https://opendata.rdw.nl/resource/t5pc-eb34,row-mwwc_m78i.mz7z,t5pc-eb34,1674,1674_NWM,Garage Nieuwe Markt (Roosendaal),20131009,29991231,GARAGEP,122,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-8vmu.xvcj~mzu6,https://opendata.rdw.nl/resource/t5pc-eb34,row-8vmu.xvcj~mzu6,t5pc-eb34,2448,603_BOGP4,In de Bogaard P4 (Rijswijk),20140101,29991231,GARAGEP,123,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-65bi-9wph_dv2i,https://opendata.rdw.nl/resource/t5pc-eb34,row-65bi-9wph_dv2i,t5pc-eb34,2448,917_CORIO,,20140101,29991231,GARAGEP,124,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-289c.ucqz~wfsk,https://opendata.rdw.nl/resource/t5pc-eb34,row-289c.ucqz~wfsk,t5pc-eb34,2448,772_CENTRU,Garage Centrum - De Admirant (Eindhoven),20130919,29991231,GARAGEP,125,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-zjf2.ermz-tevq,https://opendata.rdw.nl/resource/t5pc-eb34,row-zjf2.ermz-tevq,t5pc-eb34,2062,345_TRIC,Garage Tricotage (Veenendaal),20140101,29991231,GARAGEP,126,,,,,,
https://opendata.rdw.nl/resource/t5pc-eb34/row-d5rz~zx5z_9xv8,https://opendata.rdw.nl/resource/t5pc-eb34,row-d5rz~zx5z_9xv8,t5pc-eb34,2449,344_SPRI,Garage Springweg (Utrecht),20131108,29991231,GARAGEP,127,,,,,,
