"poradi","poskytovatel","druh_podpory_kod","druh_podpory_popis","rok","stav_podpory","vyse_podpory"
"218","MZE","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2019","PRI","5000000.00"
"219","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2018","CER-1","111055000.00"
"220","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2019","PRI","109783000.00"
"221","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","CER-1","500000.00"
"222","MV0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2019","PRI","500000.00"
"223","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","CER-1","709000.00"
"224","MV0","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2019","PRI","4807000.00"
"225","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2018","CER-1","800000.00"
"226","MSM","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2019","PRI","900000.00"
"227","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2018","CER-1","4589000.00"
"228","MSM","VSZ","Zabezpečení veřejných soutěží, hodnocení projektů a výzkumných záměrů (podle § 3 odst. 3 písm. d) zákona č. 130/2002 Sb.)","2019","PRI","7000000.00"
"229","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2009","CER-1","50449000.00"
"230","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2010","PRI","72676000.00"
"231","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2009","CER-1","335000.00"
"232","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2010","PRI","335000.00"
"233","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2010","CER-1","335000.00"
"234","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2011","PRI","335000.00"
"235","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2011","CER-1","76011000.00"
"236","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2012","PRI","104826000.00"
"237","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2011","CER-1","335000.00"
"238","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2012","PRI","335000.00"
"239","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2012","CER-1","73595000.00"
"240","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2013","PRI","111476000.00"
"241","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2012","CER-1","335000.00"
"242","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2013","PRI","335000.00"
"243","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2013","CER-1","94423000.00"
"244","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2014","PRI","110557000.00"
"245","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2013","CER-1","335000.00"
"246","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2014","PRI","335000.00"
"247","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2014","CER-1","86782000.00"
"248","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2015","PRI","110365000.00"
"249","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2014","CER-1","400000.00"
"250","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2015","PRI","400000.00"
"251","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2015","CER-1","80615000.00"
"252","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2016","PRI","110392000.00"
"253","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2015","CER-1","400000.00"
"254","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2016","PRI","400000.00"
"255","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2016","CER-1","85582000.00"
"256","GA0","CIN","Náklady spojené s činností poskytovatele (podle § 3 odst. 3 písm. f) zákona č. 130/2002 Sb.)","2017","PRI","113240000.00"
"257","GA0","OMV","Věcné nebo finanční ocenění mimořádných výsledků (podle § 3 odst. 3 písm. e) zákona č. 130/2002 Sb.)","2016","CER-1","500000.00"
