Subject,type,rowID,member,id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto,modello,ultima_modifica_data,ora
row-gj5h_fk7t.rrba,dr3m-v3by,row-gj5h_fk7t.rrba,dr3m-v3by,35006152,ABI01030,Banca Monte dei Paschi di Siena,93038720194,Unione Municipia,26045,CR,21.20,2025-01-04T00:00:00,sch_cimiterialivotive_motta,3,2025-01-04T10:58:54,10
row-r69s.ymh5_54s2,dr3m-v3by,row-r69s.ymh5_54s2,dr3m-v3by,35006151,ABI03069,Intesa Sanpaolo S.p.A,85001870188,Comune di Vigevano,27029,PV,70.48,2025-01-04T00:00:00,ts_verbali_cds,3,2025-01-04T10:58:46,10
row-672v_5qex_djq3,dr3m-v3by,row-672v_5qex_djq3,dr3m-v3by,35006150,PPAYITR1XXX,Postepay,04114370168,ASST Papa Giovanni XXIII,24127,BG,36.00,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T10:58:45,10
row-vkyd.xghk~txt9,dr3m-v3by,row-vkyd.xghk~txt9,dr3m-v3by,35006149,BIC32698,LIS Pay SPA,82000950160,Comune di Bonate Sopra,24040,BG,465.67,2025-01-04T00:00:00,in_violazione_cds,3,2025-01-04T10:58:40,10
row-s64v~xwbd_5jyb,dr3m-v3by,row-s64v~xwbd_5jyb,dr3m-v3by,35006148,BNLIITRR,Worldline Merchant Services Italia S.p.A.,80008750178,Provincia di Brescia,25121,BS,48.50,2025-01-04T00:00:00,os_verbali_pp,3,2025-01-04T10:58:38,10
row-gyun~bmvn~heve,dr3m-v3by,row-gyun~bmvn~heve,dr3m-v3by,35006147,BIC32698,LIS Pay SPA,85001870188,Comune di Vigevano,27029,PV,75.43,2025-01-04T00:00:00,ts_verbali_cds,3,2025-01-04T10:58:36,10
row-kyv7~yra3-x6d4,dr3m-v3by,row-kyv7~yra3-x6d4,dr3m-v3by,35006146,PPAYITR1XXX,Postepay,80008750178,Provincia di Brescia,25121,BS,35.90,2025-01-04T00:00:00,os_verbali_pp,3,2025-01-04T10:58:36,10
row-ccxq.wmmz_t6ys,dr3m-v3by,row-ccxq.wmmz_t6ys,dr3m-v3by,35006145,UNCRITMM,UniCredit S.p.A.,80050050154,Regione Lombardia,20124,MI,0.22,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T10:58:32,10
row-e8kv-zzjg_wkc2,dr3m-v3by,row-e8kv-zzjg_wkc2,dr3m-v3by,35006144,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,60.98,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T10:58:28,10
row-nk4x-u5gv.qq88,dr3m-v3by,row-nk4x-u5gv.qq88,dr3m-v3by,35006143,BIC32698,LIS Pay SPA,00772070157,Milano Serravalle - Milano Tangenziali S.P.A.,20057,MI,6.61,2025-01-04T00:00:00,sin_sollecito,3,2025-01-04T10:58:27,10
row-xccn.ywwi-2uvp,dr3m-v3by,row-xccn.ywwi-2uvp,dr3m-v3by,35006142,BIC32698,LIS Pay SPA,03510190121,ASST Valle Olona,21052,VA,30.00,2025-01-04T00:00:00,TICKET_SANITARIO,3,2025-01-04T10:58:21,10
row-vc9f_ivzh~usa2,dr3m-v3by,row-vc9f_ivzh~usa2,dr3m-v3by,35006141,PPAYITR1XXX,Postepay,00846620177,Comune di Prevalle,25080,BS,249.67,2025-01-04T00:00:00,in_violazione_cds,3,2025-01-04T10:58:14,10
row-hsk8.zfq8-tt3z,dr3m-v3by,row-hsk8.zfq8-tt3z,dr3m-v3by,35006140,BNLIITRR,Worldline Merchant Services Italia S.p.A.,02481970206,ATS della Val Padana,46100,MN,26.80,2025-01-04T00:00:00,ATS327_LIB_VET,3,2025-01-04T10:58:10,10
row-pnhw_vqht_uhea,dr3m-v3by,row-pnhw_vqht_uhea,dr3m-v3by,35006139,BNLIITRR,Worldline Merchant Services Italia S.p.A.,80050050154,Regione Lombardia,20124,MI,142.17,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T10:58:08,10
row-8rah_e9j4.k3u6,dr3m-v3by,row-8rah_e9j4.k3u6,dr3m-v3by,35006138,ABI05387,BPER,80008750178,Provincia di Brescia,25121,BS,35.90,2025-01-04T00:00:00,os_verbali_pp,3,2025-01-04T10:58:07,10
row-8qb7~6yfi_5i9d,dr3m-v3by,row-8qb7~6yfi_5i9d,dr3m-v3by,35006137,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,3.07,2025-01-04T00:00:00,Tassa Auto,3,2025-01-04T10:58:00,10
